"Company name","ASX code","GICS industry group","price","high","low","change","volume"
"CANNINDAH RESOURCES LIMITED","CAE","Materials","0.0420","0.0420","0.0420","0.0032","57350"
"CANYON RESOURCES LIMITED","CAY","Materials","0.0670","0.0670","0.0670","0.0021","316450"
"CAPE LAMBERT RESOURCES LIMITED","CFE","Materials","0.0230","0.0230","0.0230","-0.0010","2000"
"CAPILANO HONEY LIMITED","CZZ","Food, Beverage & Tobacco","16.3000","16.3100","16.2900","0.0098","1237"
"CAPITAL MINING LIMITED","CMY","Materials","0.0050","0.0050","0.0050","0.0000","465000"
"CAPITOL HEALTH LIMITED","CAJ","Health Care Equipment & Services","0.2900","0.2900","0.2870","0.0000","14272"
"CAPRAL LIMITED","CAA","Materials","0.1400","0.1400","0.1400","0.0000","53585"
"CAPRICORN METALS LTD","CMM","Materials","0.0800","0.0800","0.0800","0.0000","39709"
"CAQ HOLDINGS LIMITED","CAQ","Real Estate","0.1100","0.1100","0.1100","0.0000","15000"
"CARAVEL MINERALS LIMITED","CVV","Materials","0.0600","0.0600","0.0600","0.0043","2556"
"CARBINE RESOURCES LIMITED","CRB","Materials","0.0870","0.0870","0.0860","-0.0029","101777"
"CARBINE TUNGSTEN LIMITED","CNQ","Materials","0.0080","0.0080","0.0080","0.0011","17734"
"CARBON ENERGY LIMITED","CNX","Energy","0.2300","0.2300","0.2250","0.0105","465"
"CARBON MINERALS LIMITED","CRM","Energy","0.1050","0.1050","0.1050","0.0000","250"
"CARDINAL RESOURCES LIMITED","CDV","Materials","0.6150","0.6200","0.6150","-0.0098","3595"
"CARDNO LIMITED","CDD","Capital Goods","1.4350","1.4400","1.4300","0.0000","24139"
"CARINDALE PROPERTY TRUST","CDP","Real Estate","7.9400","8.0500","7.9300","0.0199","4074"
"CARLTON INVESTMENTS LIMITED","CIN","Diversified Financials","31.0200","31.0200","30.8000","0.0186","500"
"CARNARVON PETROLEUM LIMITED","CVN","Energy","0.0880","0.0880","0.0880","0.0010","69396"
"CARNAVALE RESOURCES LIMITED","CAV","Materials","0.0220","0.0220","0.0220","0.0010","250000"
"CARNEGIE CLEAN ENERGY LIMITED","CCE","Utilities","0.0470","0.0470","0.0470","0.0000","249025"
"CARPENTARIA EXPLORATION LIMITED","CAP","Materials","0.0750","0.0750","0.0750","0.0031","47857"
"CARSALES.COM LIMITED.","CAR","Software & Services","13.4750","13.5000","13.4200","-0.0054","153317"
"CASH CONVERTERS INTERNATIONAL","CCV","Retailing","0.3550","0.3550","0.3500","0.0000","89205"
"CASSINI RESOURCES LIMITED","CZI","Materials","0.0700","0.0730","0.0700","0.0000","159174"
"CASTILLO COPPER LIMITED","CCZ","Materials","0.0450","0.0460","0.0450","0.0021","4349017"
"CASTLE MINERALS LIMITED","CDT","Materials","0.0150","0.0150","0.0150","0.0000","191781"
"CATALYST METALS LIMITED","CYL","Materials","0.7500","0.7500","0.7500","0.0000","8000"
"CATAPULT GROUP INTERNATIONAL LTD","CAT","Technology Hardware & Equipment","1.6400","1.6800","1.6400","0.0080","10309"
"CAULDRON ENERGY LIMITED","CXU","Energy","0.0530","0.0530","0.0530","0.0000","17665"
"CAZALY RESOURCES LIMITED","CAZ","Materials","0.0380","0.0380","0.0380","-0.0019","10756"
"CBG CAPITAL LIMITED","CBC","Not Applic","0.9000","0.9000","0.9000","0.0000","7786"
"CBL CORPORATION LIMITED","CBL","Insurance",,"","","",""
"CCP TECHNOLOGIES LIMITED","CT1","Technology Hardware & Equipment","0.0200","0.0200","0.0200","-0.0046","1440"
"CEDAR WOODS PROPERTIES LIMITED","CWP","Real Estate","5.4800","5.5000","5.4300","0.0099","13304"
"CELAMIN HOLDINGS NL","CNL","Materials",,"","","",""
"CELLMID LIMITED","CDY","Pharmaceuticals, Biotechnology & Life Sciences","0.0240","0.0240","0.0240","0.0000","68037"
"CELLNET GROUP LIMITED","CLT","Technology Hardware & Equipment","0.2500","0.2500","0.2500","0.0000","189000"
"CELSIUS RESOURCES LIMITED.","CLA","Materials","0.0490","0.0490","0.0490","-0.0010","701130"
"CENTAURUS METALS LIMITED","CTM","Materials","0.0040","0.0040","0.0040","0.0000","1975000"
"CENTENNIAL MINING LIMITED","CTL","Materials","0.0140","0.0140","0.0140","0.0011","341000"
"CENTRAL ASIA RESOURCES LIMITED.","CVR","Materials",,"","","",""
"CENTRAL PETROLEUM LIMITED","CTP","Energy","0.1050","0.1050","0.1050","0.0000","847873"
"CENTREPOINT ALLIANCE LIMITED","CAF","Diversified Financials","0.7200","0.7200","0.7200","0.0000","32000"
"CENTREX METALS LIMITED","CXM","Materials","0.0700","0.0700","0.0700","0.0000","5000"
"CENTURIA CAPITAL GROUP","CNI","Diversified Financials","1.3300","1.3400","1.3200","-0.0100","36676"
"CENTURIA INDUSTRIAL REIT","CIP","Real Estate","2.5050","2.5100","2.5000","-0.0050","26253"
"CENTURIA METROPOLITAN REIT","CMA","Real Estate","2.4500","2.4500","2.4450","0.0000","51984"
"CENTURY AUSTRALIA INVESTMENTS LIMITED","CYA","Diversified Financials","0.9300","0.9300","0.9300","0.0000","28917"
"CERAMIC FUEL CELLS LIMITED","CFU","Capital Goods",,"","","",""
"CERVANTES CORPORATION LIMITED","CVS","Materials","0.0150","0.0150","0.0150","0.0011","250000"
"CFOAM LIMITED","CFO","Capital Goods","0.2800","0.2800","0.2750","0.0000","22376"
"CHALICE GOLD MINES LIMITED","CHN","Materials","0.1550","0.1550","0.1550","0.0000","12000"
"CHALLENGER ENERGY LIMITED","CEL","Energy","0.0250","0.0250","0.0250","0.0010","25000"
"CHALLENGER LIMITED","CGF","Diversified Financials","12.3550","12.3700","12.3350","0.0148","198864"
"CHALLENGER MILLENNIUM SERIES 2007-1E TRUST","CHJ","Not Applic",,"","","",""
"CHALLENGER MILLENNIUM SERIES 2007-2L TRUST","CHU","Not Applic",,"","","",""
"CHALMERS LIMITED","CHR","Transportation","3.1500","3.1500","3.1500","0.0000","1080"
"CHAMPION IRON LIMITED","CIA","Materials","1.0100","1.0100","1.0100","-0.0147","6594"
"CHAPMANS LIMITED","CHP","Diversified Financials","0.0060","0.0060","0.0060","0.0000","350000"
"CHARTER HALL GROUP","CHC","Real Estate","5.6150","5.6200","5.6100","0.0101","165078"
"CHARTER HALL LONG WALE REIT","CLW","Real Estate","4.1950","4.2050","4.1900","0.0201","140727"
"CHARTER HALL RETAIL REIT","CQR","Real Estate","3.9400","3.9450","3.9300","0.0000","60522"
"CHESSER RESOURCES LIMITED","CHZ","Materials","0.0450","0.0450","0.0450","0.0010","20000"
"CHIMPCHANGE LIMITED","CCA","Software & Services","0.6500","0.6500","0.6450","-0.0099","21486"
"CHINA CONSTRUCTION BANK CORPORATION","CCB","Not Applic",,"","","",""
"CHINA DAIRY CORPORATION LIMITED","CDC","Food, Beverage & Tobacco","0.0890","0.0890","0.0890","-0.0010","100000"
"CHINA MAGNESIUM CORPORATION LIMITED","CMC","Materials","0.0120","0.0120","0.0120","-0.0024","86226"
"CHONGHERR INVESTMENTS LTD","CDH","Materials",,"","","",""
"CHORUS LIMITED","CNU","Telecommunication Services","3.5450","3.5500","3.5300","-0.0050","173781"
"CI RESOURCES LIMITED","CII","Materials","1.7500","1.7500","1.7500","0.0000","583"
"CIMIC GROUP LIMITED","CIM","Capital Goods","41.7800","41.8400","41.6200","0.1295","27332"
"CIRRUS NETWORKS HOLDINGS LIMITED","CNW","Software & Services","0.0200","0.0200","0.0200","0.0000","400000"
"CITATION RESOURCES LTD","CTR","Energy",,"","","",""
"CITIGOLD CORPORATION LIMITED","CTO","Materials","0.0070","0.0070","0.0070","0.0000","300000"
"CLANCY EXPLORATION LIMITED","CLY","Materials","0.0040","0.0040","0.0040","0.0000","300000"
"CLARIUS GROUP LIMITED","CND","Commercial & Professional Services","0.0740","0.0740","0.0740","0.0000","44972"
"CLASS LIMITED","CL1","Software & Services","3.3800","3.4000","3.3700","-0.0199","16666"
"CLASSIC MINERALS LTD","CLZ","Materials","0.0070","0.0070","0.0070","-0.0016","299665"
"CLEAN SEAS SEAFOOD LIMITED","CSS","Food, Beverage & Tobacco","0.0500","0.0510","0.0500","0.0000","3099"
"CLEAN TEQ HOLDINGS LIMITED","CLQ","Commercial & Professional Services","0.9650","0.9700","0.9620","0.0050","153103"
"CLEANAWAY WASTE MANAGEMENT LIMITED","CWY","Commercial & Professional Services","1.4320","1.4350","1.4300","0.0000","275214"
"CLEARVIEW WEALTH LIMITED","CVW","Diversified Financials","1.4500","1.4500","1.4500","0.0000","52"
"CLEVELAND MINING COMPANY LIMITED","CDG","Materials",,"","","",""
"CLIME CAPITAL LIMITED","CAM","Not Applic","0.8650","0.8650","0.8650","0.0000","2266"
